"bird_id","year","year_id","sex","age","territory","incubation","hatchlings","egg_laying_date","hatching_date","empty_date"
2,2016,"2016_2","f",NA,"yes","yes","yes",2016-03-26,2016-04-27,2016-06-17
7,2016,"2016_7","f",0,NA,"yes","yes",2016-04-11,2016-05-13,2016-07-02
11,2016,"2016_11","f",NA,"yes","yes","yes",2016-04-10,2016-05-12,2016-07-05
58,2016,"2016_58","f",0,NA,"yes","yes",2016-04-10,2016-05-12,2016-05-19
80,2016,"2016_80","m",NA,"yes","yes","yes",2016-04-10,2016-05-12,2016-07-07
83,2016,"2016_83","f",0,NA,"yes","yes",2016-04-02,2016-05-04,2016-06-23
86,2016,"2016_86","m",0,NA,"yes","yes",2016-04-07,2016-05-09,2016-05-24
87,2016,"2016_87","f",0,NA,"yes","yes",2016-04-14,2016-05-16,2016-07-05
88,2016,"2016_88","m",0,NA,"yes","yes",2016-04-09,2016-05-11,2016-05-29
90,2016,"2016_90","f",0,NA,"yes","yes",2016-04-11,2016-05-13,2016-07-09
98,2016,"2016_98","f",0,NA,"yes","yes",2016-04-11,2016-05-13,2016-07-06
114,2016,"2016_114","m",0,NA,"yes","yes",2016-04-03,2016-05-05,2016-07-03
120,2016,"2016_120","m",NA,"yes","yes","yes",2016-05-09,2016-06-10,2016-08-04
124,2016,"2016_124","f",0,NA,"yes","yes",2016-04-09,2016-05-11,2016-07-13
132,2016,"2016_132","f",0,NA,"yes","yes",2016-03-31,2016-05-02,2016-06-15
133,2016,"2016_133","f",0,NA,"yes","yes",2016-04-13,2016-05-15,2016-06-23
134,2016,"2016_134","f",0,NA,"yes","yes",2016-04-02,2016-05-04,2016-06-18
137,2016,"2016_137","f",1,"no","yes","yes",2016-04-06,2016-05-08,2016-07-08
138,2016,"2016_138","f",1,"no","yes","yes",2016-04-04,2016-05-06,2016-06-19
139,2016,"2016_139","m",1,"no","yes","yes",2016-04-01,2016-05-03,2016-05-30
145,2016,"2016_145","f",1,"no","yes","yes",2016-04-08,2016-05-10,2016-07-07
147,2016,"2016_147","m",1,NA,"yes","yes",2016-04-07,2016-05-09,2016-06-20
149,2016,"2016_149","f",1,NA,"yes","yes",2016-03-30,2016-05-01,2016-06-28
152,2016,"2016_152","f",1,NA,"yes","yes",2016-04-08,2016-05-10,2016-06-22
154,2016,"2016_154","m",1,"no","yes","yes",2016-04-04,2016-05-06,2016-06-25
156,2016,"2016_156","f",1,"no","yes","yes",2016-04-05,2016-05-07,2016-06-21
157,2016,"2016_157","f",1,"no","yes","yes",2016-04-11,2016-05-13,2016-06-23
158,2016,"2016_158","f",1,NA,"yes","yes",2016-04-12,2016-05-14,2016-06-24
160,2016,"2016_160","f",1,NA,"yes","yes",2016-04-17,2016-05-19,2016-06-28
161,2016,"2016_161","f",1,"no","yes","yes",2016-04-08,2016-05-10,2016-06-19
163,2016,"2016_163","m",1,"no","yes","yes",2016-04-11,2016-05-13,2016-06-30
164,2016,"2016_164","f",1,"no","yes","yes",2016-04-19,2016-05-21,2016-07-14
165,2016,"2016_165","m",1,"no","yes","yes",2016-04-05,2016-05-07,2016-06-27
166,2016,"2016_166","m",1,NA,"yes","yes",2016-04-08,2016-05-10,2016-06-21
168,2016,"2016_168","m",1,NA,"yes","yes",2016-04-16,2016-05-18,2016-06-18
170,2016,"2016_170","f",1,NA,"yes","yes",2016-04-01,2016-05-03,2016-07-07
176,2016,"2016_176","f",1,NA,"yes","yes",2016-04-03,2016-05-05,2016-06-28
177,2016,"2016_177","m",1,NA,"yes","yes",2016-04-14,2016-05-16,2016-07-06
178,2016,"2016_178","m",1,NA,"yes","yes",2016-04-16,2016-05-18,2016-06-20
180,2016,"2016_180","m",1,"no","yes","yes",2016-04-07,2016-05-09,2016-06-20
182,2016,"2016_182","m",1,NA,"yes","yes",2016-04-02,2016-05-04,2016-06-24
190,2016,"2016_190","f",0,NA,"yes","yes",2016-04-22,2016-05-24,2016-06-15
191,2016,"2016_191","m",0,NA,"yes","yes",2016-04-11,2016-05-13,2016-06-28
192,2016,"2016_192","f",NA,"yes","yes","yes",2016-04-06,2016-05-08,2016-06-18
2,2017,"2017_2","f",NA,"yes","yes","yes",2017-03-15,2017-04-16,2017-07-01
10,2017,"2017_10","f",NA,"yes","yes","yes",2017-03-29,2017-04-30,2017-07-15
33,2017,"2017_33","f",1,NA,"yes","yes",2017-04-01,2017-05-03,2017-06-17
83,2017,"2017_83","f",1,"no","yes","yes",2017-03-28,2017-04-29,2017-06-23
87,2017,"2017_87","f",1,NA,"yes","yes",2017-04-01,2017-05-03,2017-06-26
89,2017,"2017_89","m",1,NA,"yes","yes",2017-04-04,2017-05-06,2017-06-18
98,2017,"2017_98","f",1,"no","yes","yes",2017-03-31,2017-05-02,2017-07-01
116,2017,"2017_116","m",1,"no","yes","yes",2017-04-04,2017-05-06,2017-06-21
120,2017,"2017_120","m",NA,"yes","yes","yes",2017-04-01,2017-05-03,2017-07-23
122,2017,"2017_122","m",1,"no","yes","yes",2017-04-07,2017-05-09,2017-06-15
140,2017,"2017_140","m",2,"no","yes","yes",2017-03-21,2017-04-22,2017-06-05
145,2017,"2017_145","f",2,"no","yes","yes",2017-03-25,2017-04-26,2017-06-26
148,2017,"2017_148","m",2,NA,"yes","yes",2017-04-02,2017-05-04,2017-05-29
170,2017,"2017_170","f",2,NA,"yes","yes",2017-04-08,2017-05-10,2017-07-14
186,2017,"2017_186","f",NA,"yes","yes","yes",2017-04-05,2017-05-07,2017-06-30
245,2017,"2017_245","f",0,NA,"yes","yes",2017-03-30,2017-05-01,2017-06-10
251,2017,"2017_251","f",0,NA,"yes","yes",2017-04-01,2017-05-03,2017-07-15
252,2017,"2017_252","m",0,NA,"yes","yes",2017-04-05,2017-05-07,2017-07-07
255,2017,"2017_255","m",0,NA,"yes","yes",2017-04-09,2017-05-11,2017-06-24
260,2017,"2017_260","f",0,NA,"yes","yes",2017-03-29,2017-04-30,2017-06-28
262,2017,"2017_262","f",0,NA,"yes","yes",2017-04-11,2017-05-13,2017-06-24
264,2017,"2017_264","f",0,NA,"yes","yes",2017-03-21,2017-04-22,2017-05-21
265,2017,"2017_265","m",0,NA,"yes","yes",2017-04-02,2017-05-04,2017-06-15
267,2017,"2017_267","f",0,NA,"yes","yes",2017-04-12,2017-05-14,2017-07-08
270,2017,"2017_270","f",0,NA,"yes","yes",2017-03-30,2017-05-01,2017-06-15
272,2017,"2017_272","m",0,NA,"yes","yes",2017-04-13,2017-05-15,2017-07-15
273,2017,"2017_273","f",0,NA,"yes","yes",2017-03-24,2017-04-25,2017-06-05
275,2017,"2017_275","f",0,NA,"yes","yes",2017-03-25,2017-04-26,2017-06-09
281,2017,"2017_281","f",0,NA,"yes","yes",2017-03-30,2017-05-01,2017-06-14
282,2017,"2017_282","m",0,NA,"yes","yes",2017-03-30,2017-05-01,2017-05-29
285,2017,"2017_285","m",0,NA,"yes","yes",2017-03-30,2017-05-01,2017-06-23
